state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
VA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,39,1,25,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,75,2,5,,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
VI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
VI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024,Not Available,Not Available,Not Available,Not Available
VI,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,5,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,0,1,0,13
VT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,4,7,3,1
VT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2021,06/30/2024,5,5,5,0
VT,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),0,15,0,0,,07/01/2023,06/30/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,8,0,3,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
