facility_name,facility_id,npi,city_town,state,zip_code,year,asc_1_rate,asc_1_footnote,asc_2_rate,asc_2_footnote,asc_3_rate,asc_3_footnote,asc_4_rate,asc_4_footnote,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_19_total_cases,asc_19_performance_category,asc_19_rshv_rate,asc_19_interval_lower_limit,asc_19_interval_upper_limit,asc_19_footnote
BRIGHTON SURGERY CENTER LLC,33C0001073,1265442537,ROCHESTER,NY,14618,2024,0.000,,0.013,,0.000,,0.145,,,5,,5,,,,,,5,100.00,,0.290,,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
THE ENDOSCOPY CENTER AT BEL AIR,21C0001366,1265455463,BEL AIR,MD,21015,2024,,5,,5,,5,,5,56.20,,,5,368,No Different Than the National Rate,10.7,7.7,15.1,,,5,,5,,,,,,7,,,,,,5,33,No Different than expected,1.1,0.7,2,
EYE SURGERY CENTER OF WOOSTER,36C0001050,1265462881,WOOSTER,OH,44691,2024,0.000,,0.000,,0.000,,0.034,,,5,,5,,,,,,5,,5,0.236,,,,,,,5,,,,,,5,,,,,,7
TAMARAC SURGERY CENTER LLC DBA THE SURGERY CENTER OF FORT LAUDERDALE,10C0001302,1265466288,LAUDERDALE LAKES,FL,33319,2024,0.000,,0.000,,0.000,,0.069,,3.68,,,5,1098,No Different Than the National Rate,10.5,7.9,14.2,,99.65,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
MANALAPAN SURGERY CENTER INC,31C0001190,1265481147,MANALAPAN,NJ,07726,2024,,5,,5,,5,0.144,,,5,,5,,,,,,5,100.00,,,5,,Number of Cases Too Small,,,,1,,,,,,5,,,,,,5
WEST RIVER ENDOSCOPY,41C0001008,1265484810,PROVIDENCE,RI,02904,2024,0.000,,0.085,,,5,0.085,,99.67,,,5,2193,No Different Than the National Rate,10.8,8.3,14,,,5,,5,,,,,,5,,,,,,5,,,,,,5
ROCKFORD AMBULATORY SURGERY CENTER,14C0001069,1265486849,ROCKFORD,IL,61107,2024,0.000,,0.025,,0.000,,0.025,,,5,,5,,,,,,5,97.46,,0.241,,72,No Different Than the National Rate,2.5,1.5,3.9,,,,,,,5,42,No Different than expected,1.1,0.6,2,
ORSESHOE SURGERY CENTER LLC DBA LAKEWOOD SURGERY CENTER,24C0001053,1265487474,GRAND RAPIDS,MN,55744,2024,0.000,,0.000,,0.000,,0.000,,96.10,,,5,98,No Different Than the National Rate,10.2,7.4,14.2,,100.00,,0.916,,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
SPECIALITY SURGERY CENTER OF CNY,33C0001045,1265488563,LIVERPOOL,NY,13088,2024,,5,0.007,,,5,0.069,,,5,,5,,,,,,5,,5,0.065,,,Number of Cases Too Small,,,,1,,,,,,5,,Number of Cases Too Small,,,,1
CORAL VIEW SURGERY CENTER LLC,10C0001205,1265494553,MIAMI,FL,33144,2024,,5,,5,,5,,5,,5,,5,89,No Different Than the National Rate,9.9,7.1,13.5,,,5,,5,,,,,,5,,,,,,5,,,,,,5
